kind	x0	x1	top	bottom	width	height
line	2058.3	2096.3	1834.1	1834.1	38.0	0.0
line	2083.7	2083.7	1897.1	1902.4	0.0	5.2
line	2083.7	2083.7	1834.1	1897.1	0.0	63.0
line	2080.2	2087.2	1893.6	1900.6	7.0	7.0
line	2080.2	2087.2	1830.6	1837.6	7.0	7.0
line	2083.7	2083.7	1828.9	1834.1	0.0	5.2
line	2077.1	2096.3	1897.1	1897.1	19.2	0.0
line	2077.1	2096.3	1834.1	1834.1	19.2	0.0
line	1918.1	1918.1	1942.0	1942.5	0.0	0.6
line	1918.1	1918.1	1942.5	1943.2	0.0	0.6
line	1918.1	1918.1	1943.2	1943.9	0.0	0.7
line	1918.1	1918.1	1943.9	1944.6	0.0	0.7
line	1918.1	1918.1	1944.6	1945.3	0.0	0.7
line	1918.1	1918.1	1945.3	1946.0	0.0	0.7
line	1918.1	1918.1	1946.0	1946.7	0.0	0.7
line	1918.1	1918.1	1946.7	1947.3	0.0	0.6
line	1918.1	1918.1	1947.3	1947.9	0.0	0.6
line	1918.1	1918.7	1942.0	1942.0	0.6	0.0
line	1918.7	1918.7	1942.0	1942.5	0.0	0.6
line	1918.7	1918.7	1942.5	1943.2	0.0	0.6
line	1918.7	1918.7	1943.2	1943.9	0.0	0.7
line	1918.7	1918.7	1943.9	1944.6	0.0	0.7
line	1918.7	1918.7	1944.6	1945.3	0.0	0.7
line	1918.7	1918.7	1945.3	1946.0	0.0	0.7
line	1918.7	1918.7	1946.0	1946.7	0.0	0.7
line	1918.7	1918.7	1946.7	1947.3	0.0	0.6
line	1918.7	1918.7	1947.3	1947.9	0.0	0.6
line	1918.1	1918.7	1947.9	1947.9	0.6	0.0
line	1896.8	1921.4	1977.3	1977.3	24.6	0.0
line	1921.4	1921.4	1937.7	1977.3	0.0	39.6
line	1896.8	1921.4	1937.7	1937.7	24.6	0.0
line	1896.8	1896.8	1937.7	1977.3	0.0	39.6
line	1921.5	1921.7	1914.2	1914.2	0.2	0.0
line	1921.7	1921.9	1914.2	1914.3	0.2	0.1
line	1921.9	1922.1	1914.3	1914.5	0.2	0.2
line	1922.1	1922.2	1914.5	1914.7	0.1	0.2
line	1922.2	1922.3	1914.7	1914.9	0.0	0.2
line	1920.7	1920.8	1914.7	1914.9	0.0	0.2
line	1920.8	1920.9	1914.5	1914.7	0.1	0.2
line	1920.9	1921.0	1914.3	1914.5	0.2	0.2
line	1921.0	1921.3	1914.2	1914.3	0.2	0.1
line	1921.3	1921.5	1914.2	1914.2	0.2	0.0
line	1921.5	1921.7	1919.5	1919.5	0.2	0.0
line	1921.7	1921.9	1919.5	1919.6	0.2	0.1
