x0	x1	top	bottom	text
2866.88	2895.68	1148.29	1165.54	a
2866.88	2895.68	1130.95	1148.31	k
2866.88	2895.68	1113.86	1130.97	e
2866.88	2895.68	1099.05	1113.88	s
2901.68	2930.48	1244.92	1270.89	W
2901.68	2930.48	1229.78	1244.93	e
2901.68	2930.48	1223.2	1229.8	l
2901.68	2930.48	1216.62	1223.22	l
2901.68	2930.48	1207.62	1216.64	 
2901.68	2930.48	1187.33	1207.72	Q
2901.68	2930.48	1171.28	1187.35	u
2901.68	2930.48	1156.14	1171.29	e
2901.68	2930.48	1143.31	1156.16	s
2901.68	2930.48	1133.71	1143.33	t
2935.06	2957.01	1334.56	1348.97	P
2935.06	2957.01	1320.07	1334.49	P
2935.06	2957.01	1313.58	1320.01	 
2935.06	2957.01	1299.6	1313.57	2
2935.06	2957.01	1285.55	1299.53	0
2935.06	2957.01	1271.51	1285.49	1
2935.06	2957.01	1257.46	1271.44	7
2935.06	2957.01	1247.95	1257.4	-
2935.06	2957.01	1233.92	1247.89	0
2935.06	2957.01	1219.87	1233.85	4
2935.06	2957.01	1205.83	1219.81	2
2935.06	2957.01	1198.89	1205.76	,
2935.06	2957.01	1192.46	1198.89	 
2935.06	2957.01	1179.02	1192.45	T
2935.06	2957.01	1163.06	1178.99	R
2935.06	2957.01	1148.0	1163.03	A
2935.06	2957.01	1133.33	1147.97	C
2935.06	2957.01	1119.87	1133.3	T
2935.06	2957.01	1113.41	1119.84	 
2935.06	2957.01	1096.54	1113.46	N
2935.06	2957.01	1082.97	1096.51	o
2935.06	2957.01	1076.01	1082.88	.
2935.06	2957.01	1069.58	1076.01	 
2935.06	2957.01	1055.59	1069.57	7
2811.4	2821.0	2116.93	2124.0	©
2811.35	2820.95	2113.9	2116.9	 
2811.35	2820.95	2108.65	2113.89	2
2811.35	2820.95	2103.4	2108.65	0
2811.35	2820.95	2098.16	2103.4	1
2811.35	2820.95	2092.91	2098.15	8
2811.35	2820.95	2089.9	2092.9	 
2811.35	2820.95	2086.31	2089.89	I
